,Target Accession,Same Species,Same Genus,Same Family,Same Order,Same Class,Same Phylum,Same Kingdom,Other Kingdom
Torulaspora delbrueckii 5,GCA_012851235.1,GCA_012851245.1,GCA_044645895.1,GCA_949129915.1,,GCA_031126305.1,GCA_029618695.1,GCA_000334115.1,GCA_003843895.1
Torulaspora delbrueckii 6,GCA_012851245.1,GCA_012851265.1,GCA_003705175.3,GCA_009667295.1,,GCA_029581785.1,GCA_030772555.1,GCA_963855905.1,GCA_030374175.1
Torulaspora delbrueckii 7,GCA_012851265.1,GCA_012851275.1,GCA_012851045.1,,,GCA_009281745.1,GCA_046251555.1,GCA_004802695.1,GCA_018292885.1
Torulaspora delbrueckii 8,GCA_012851275.1,GCA_012851295.1,GCA_012851005.1,GCA_001578275.1,,GCA_001936155.1,GCA_030779935.1,GCA_011952045.2,GCA_023611945.1
Torulaspora delbrueckii 9,GCA_012851295.1,GCA_012851345.1,GCA_048593755.1,,,GCA_030574915.1,GCA_009297915.1,GCA_038093975.1,GCA_030463285.1
Schizosaccharomyces pombe 0,GCA_000002945.3,GCA_003086255.1,GCA_029267275.1,,,,GCA_033439685.1,GCA_910592205.1,GCA_032158285.1
Schizosaccharomyces pombe 1,GCA_003086255.1,GCA_006386075.1,GCA_032882995.1,,,,GCA_009803715.1,GCA_041442975.1,GCA_030278985.1
Schizosaccharomyces pombe 2,GCA_006386075.1,GCA_006386085.1,GCA_032882995.1,,,,GCA_003274025.1,GCA_001457935.1,GCA_002245725.1
Schizosaccharomyces pombe 3,GCA_006386085.1,GCA_006386095.1,GCA_032882995.1,,,,GCA_905337345.1,GCA_038090495.1,GCA_038050825.1
Schizosaccharomyces pombe 4,GCA_006386095.1,GCA_006386105.1,GCA_000149845.2,,,,GCA_020501695.1,GCA_042241475.1,GCA_012552325.1
Schizosaccharomyces pombe 5,GCA_006386105.1,GCA_006386175.1,GCA_958267425.1,,,,GCA_900128795.2,GCA_023212755.1,GCA_016865095.1
Schizosaccharomyces pombe 6,GCA_006386175.1,GCA_006386185.1,GCA_032883015.1,,,,GCA_000257065.1,GCA_003313135.1,GCA_000387445.2
Schizosaccharomyces pombe 7,GCA_006386185.1,GCA_006386205.1,GCA_000150505.2,,,,GCA_023012365.1,,GCA_000387425.2
Schizosaccharomyces pombe 8,GCA_006386205.1,GCA_006386235.1,GCA_019702855.1,,,,GCA_019178775.1,GCA_001651415.1,GCA_001600475.1
Schizosaccharomyces pombe 9,GCA_006386235.1,GCA_006386245.1,GCA_019702855.1,,,,GCA_003704965.1,GCA_037040355.1,
Zygosaccharomyces parabailii 1,GCA_030572715.1,,GCA_949129855.1,GCA_949124705.1,,GCA_030580555.1,GCA_964255315.1,GCA_045934465.1,GCA_018292895.1
Zygosaccharomyces parabailii 3,GCA_949129115.1,GCA_949129135.1,GCA_949130185.1,GCA_025331885.1,,GCA_043521475.1,GCA_030719115.1,GCA_027604405.1,GCA_000281045.1
Zygosaccharomyces parabailii 4,GCA_949129135.1,GCA_949129145.1,GCA_949129465.1,GCA_003275225.1,,GCA_040365455.1,GCA_027569225.1,GCA_003951145.1,GCA_001314355.1
Zygosaccharomyces parabailii 5,GCA_949129145.1,GCA_949129165.1,GCA_949129855.1,GCA_017865655.1,,GCA_049306565.1,GCA_002924965.1,GCA_022376555.1,GCA_003724065.1
Zygosaccharomyces parabailii 6,GCA_949129165.1,GCA_949129205.1,GCA_949129175.1,GCA_949124825.1,,GCA_030579655.1,GCA_014325065.1,GCA_036936965.1,GCA_000509525.1
Zygosaccharomyces parabailii 7,GCA_949129205.1,GCA_949129215.1,GCA_949130145.1,GCA_011799815.1,,GCA_031126125.1,GCA_009651115.1,GCA_015849285.1,GCA_004137975.1
Zygosaccharomyces parabailii 8,GCA_949129215.1,GCA_949129225.1,GCA_949130205.1,GCA_947343995.1,,GCA_937836975.1,GCA_003206805.1,GCA_048934175.1,GCA_016864665.1
Zygosaccharomyces parabailii 9,GCA_949129225.1,GCA_949129255.1,GCA_030568175.1,GCA_048413975.1,,GCA_030561705.1,GCA_014154955.1,GCA_021653875.1,GCA_003546625.1
Nakaseomyces glabratus 0,GCA_000002545.2,GCA_001466525.1,GCA_030564085.1,GCA_947370185.1,,GCA_001661405.1,GCA_029298705.1,GCA_013368375.1,GCA_947650345.1
Nakaseomyces glabratus 1,GCA_001466525.1,GCA_001466535.1,GCA_030571395.1,GCA_003274485.1,,GCA_001599215.1,GCA_026225735.1,GCA_000349305.2,GCA_016864855.1
Nakaseomyces glabratus 2,GCA_001466535.1,GCA_001466565.1,GCA_030571395.1,GCA_048413675.1,,GCA_037355495.1,GCA_002018255.1,GCA_038094095.1,GCA_000149735.1
Nakaseomyces glabratus 3,GCA_001466565.1,GCA_001466575.1,GCA_001077315.1,GCA_947344375.1,,GCA_030573455.1,GCA_902652825.1,GCA_038089735.1,GCA_004137975.1
Nakaseomyces glabratus 4,GCA_001466575.1,GCA_001466635.1,GCA_037041435.1,GCA_048413855.1,,GCA_037041795.1,GCA_009297515.1,GCA_034509285.1,GCA_009733145.1
Nakaseomyces glabratus 5,GCA_001466635.1,GCA_001466685.1,GCA_030569875.1,GCA_009666465.1,,GCA_030579675.1,GCA_905359455.1,GCA_001969505.1,GCA_023336015.1
Nakaseomyces glabratus 6,GCA_001466685.1,GCA_002219185.1,GCA_030569875.1,GCA_030564205.1,,GCA_046457535.1,GCA_000226095.1,GCA_037576215.1,GCA_023336425.1
Nakaseomyces glabratus 7,GCA_002219185.1,GCA_002219195.1,GCA_030571395.1,GCA_030035115.1,,GCA_009805785.1,GCA_000150615.1,GCA_004918315.1,GCA_002081575.1
Nakaseomyces glabratus 8,GCA_002219195.1,GCA_002259835.1,GCA_001077315.1,,,GCA_030566875.1,GCA_021019175.1,GCA_004307925.1,GCA_024867545.1
Nakaseomyces glabratus 9,GCA_002259835.1,GCA_004332445.1,GCA_030569795.1,GCA_001740425.1,,GCA_031124825.1,GCA_022695765.1,GCA_951394305.1,GCA_905220665.1
Hortaea werneckii 0,GCA_037044905.1,GCA_003704345.1,GCA_022701445.1,GCA_030411855.1,GCA_900099495.1,GCA_022609545.1,GCA_011032985.1,GCA_000280035.2,GCA_038050715.1
Hortaea werneckii 1,GCA_003704345.1,GCA_003704355.1,GCA_022701445.1,GCA_019670975.1,GCA_022836995.1,GCA_021030925.1,GCA_964275055.1,GCA_038502985.1,GCA_023335535.1
Hortaea werneckii 2,GCA_003704355.1,GCA_003704375.1,GCA_022701445.1,GCA_010367425.1,GCA_034269425.1,GCA_019008475.1,GCA_900096645.1,GCA_038090875.1,
Hortaea werneckii 3,GCA_003704375.1,GCA_003704385.1,GCA_022701445.1,GCA_030411855.1,GCA_022814565.1,GCA_040583685.1,GCA_029169025.1,GCA_033735095.1,GCA_011316315.1
Hortaea werneckii 4,GCA_003704385.1,GCA_003704575.1,GCA_022701445.1,GCA_033630735.1,GCA_002116345.1,GCA_018408745.1,GCA_025216225.1,GCA_002104895.1,GCA_023334135.1
Hortaea werneckii 5,GCA_003704575.1,GCA_003704585.1,GCA_022701445.1,GCA_036320775.1,GCA_003611055.1,GCA_004917795.1,GCA_040114185.1,GCA_013177335.1,GCA_000143045.1
Hortaea werneckii 6,GCA_003704585.1,GCA_003704595.1,GCA_022701445.1,GCA_022814695.1,GCA_040114375.1,GCA_019924695.1,GCA_029298995.1,GCA_964257445.1,GCA_001482985.1
Hortaea werneckii 7,GCA_003704595.1,GCA_003704615.1,GCA_022701445.1,GCA_033675085.1,GCA_004299825.1,GCA_011037155.1,GCA_964256365.1,GCA_004026345.1,GCA_003413675.1
Hortaea werneckii 8,GCA_003704615.1,GCA_003704645.1,GCA_022701445.1,GCA_033630735.1,GCA_002937425.1,GCA_017949655.1,GCA_020499405.1,GCA_027577725.1,GCA_000785725.3
Hortaea werneckii 9,GCA_003704645.1,GCA_003704675.1,GCA_022701445.1,GCA_036320705.1,,GCA_022344955.1,GCA_043252385.1,GCA_004918005.1,GCA_021527745.1
Pyrenophora tritici-repentis 0,GCA_003171515.3,GCA_003171545.1,GCA_014334795.1,GCA_040583725.1,GCA_020570405.1,GCA_022813265.1,GCA_043252825.1,GCA_027595765.1,GCA_002073175.1
Pyrenophora tritici-repentis 2,GCA_003231325.2,GCA_003231345.1,GCA_025495205.1,GCA_965118025.1,,GCA_041430335.1,GCA_019925385.1,GCA_958449795.1,GCA_000143045.1
Pyrenophora tritici-repentis 3,GCA_003231345.1,GCA_003231355.1,GCA_014334795.1,GCA_008452705.1,GCA_023653535.1,GCA_047839805.1,GCA_024676255.1,GCA_004918835.1,GCA_023336125.1
Pyrenophora tritici-repentis 4,GCA_003231355.1,,GCA_025504605.1,,GCA_003501975.1,GCA_000738655.1,GCA_030556455.1,,GCA_014706135.1
Pyrenophora tritici-repentis 5,GCA_003231365.1,GCA_003231415.2,GCA_009728665.1,GCA_000817285.1,GCA_022059125.1,GCA_003611055.1,GCA_947343855.1,,
Pyrenophora tritici-repentis 8,GCA_008692205.1,GCA_018492725.1,GCA_006112615.1,GCA_022345155.1,GCA_001642045.1,GCA_963694915.1,,,GCA_023336445.1
Zymoseptoria tritici 0,GCA_002937425.1,,,GCA_002236615.2,GCA_010093505.1,GCA_002837235.1,,,
Zymoseptoria tritici 1,GCA_003611055.1,GCA_003611065.1,GCA_000223725.2,GCA_002236485.2,GCA_035135055.1,GCA_020580425.1,GCA_001737875.1,GCA_947034855.1,GCA_011947355.1
Zymoseptoria tritici 2,GCA_003611065.1,GCA_003611075.1,GCA_000223765.2,GCA_002994015.1,GCA_013403735.1,,GCA_001676865.1,GCA_036320915.1,GCA_027475745.1
Zymoseptoria tritici 3,GCA_003611075.1,GCA_003611115.1,,GCA_002785985.1,GCA_024761155.1,GCA_047667915.1,GCA_000582985.1,GCA_029378375.1,
Zymoseptoria tritici 4,GCA_003611115.1,GCA_003611125.1,GCA_000983655.1,GCA_026120125.1,GCA_035927985.1,GCA_047840625.1,GCA_964257335.1,GCA_041722215.1,GCA_004343245.1
Zymoseptoria tritici 5,GCA_003611125.1,GCA_003611135.1,GCA_000223805.2,GCA_026120055.1,GCA_024761355.1,GCA_013372555.1,GCA_030578575.1,GCA_030039255.1,GCA_009733085.1
Zymoseptoria tritici 7,GCA_003611175.1,,,,,GCA_030271015.1,,,
Zymoseptoria tritici 8,GCA_003611185.1,GCA_003613095.1,GCA_000223805.2,GCA_001578235.1,GCA_003704355.1,GCA_022344775.1,,GCA_048772795.1,GCA_030463285.1
Aureobasidium melanogenum 0,GCA_002156615.1,GCA_014595575.1,,,GCA_022813265.1,GCA_000729945.1,GCA_030557685.1,GCA_020232755.1,GCA_900000015.1
Aureobasidium melanogenum 1,GCA_014595575.1,GCA_016807825.1,GCA_001914275.1,,GCA_022813265.1,GCA_021028865.1,GCA_022578905.1,GCA_001707415.1,GCA_000151545.2
Aureobasidium melanogenum 3,GCA_017949455.1,GCA_017949655.1,GCA_903853725.1,,GCA_964059335.1,GCA_030553175.1,GCA_048934535.1,GCA_041721995.1,GCA_001695595.3
Aureobasidium melanogenum 4,GCA_017949655.1,GCA_018290055.1,GCA_004917725.1,,GCA_041146345.1,GCA_027946475.1,GCA_002006585.1,GCA_027577135.1,GCA_000500225.2
Aureobasidium melanogenum 8,GCA_019923975.1,GCA_019924015.1,GCA_903819115.1,,,GCA_020574755.1,GCA_947344925.1,GCA_027575545.1,GCA_016864775.1
Aureobasidium melanogenum 9,GCA_019924015.1,GCA_019924025.1,,,GCA_022813225.1,GCA_020580115.1,GCA_023137765.1,,GCA_023336255.1
Candida parapsilosis 1,GCA_000982555.2,GCA_000982675.1,GCA_002837675.1,GCA_031081965.1,GCA_003675505.1,GCA_019207935.1,GCA_022495205.1,GCA_019190625.1,GCA_020800215.1
Candida parapsilosis 2,GCA_000982675.1,,,,GCA_046331925.1,,,GCA_019627685.1,GCA_027925865.1
Candida parapsilosis 4,GCA_004026445.1,GCA_008764215.1,GCA_000784595.1,GCA_046131965.1,GCA_902703505.1,GCA_030570285.1,GCA_042609085.1,GCA_030864385.1,GCA_009732905.1
Candida parapsilosis 6,GCA_011316035.2,GCA_014049445.1,GCA_030585045.1,GCA_030579855.1,GCA_002370575.1,GCA_030567735.1,GCA_003012185.1,GCA_027575875.1,GCA_023338205.1
Fusarium verticillioides 2,GCA_003317015.2,GCA_013759275.1,GCA_900044135.1,GCA_021019215.1,GCA_018831705.1,GCA_009805235.1,GCA_025782755.1,GCA_031841315.1,GCA_000173235.2
Fusarium verticillioides 4,GCA_020882315.1,,,,,GCA_023313575.1,,,
Fusarium verticillioides 6,GCA_026119585.1,GCA_027571605.1,GCA_025216785.1,GCA_014622105.1,GCA_000591435.1,GCA_014705525.1,GCA_937857415.1,GCA_036783925.1,GCA_023334355.1
Fusarium verticillioides 7,GCA_027571605.1,GCA_031360185.1,GCA_043252865.1,,GCA_047301785.1,GCA_033297215.1,GCA_042609225.1,GCA_040804575.1,GCA_000509505.1
Fusarium verticillioides 9,GCA_031841155.1,GCA_033110985.1,GCA_025216645.1,GCA_002911195.1,GCA_001008065.1,,,,GCA_038050735.1
Pichia kudriavzevii 3,GCA_001983325.1,GCA_002166775.1,GCA_001661235.1,,,GCA_030581515.1,GCA_030572855.1,GCA_003243755.1,GCA_023337855.1
Pichia kudriavzevii 9,GCA_003705515.2,,GCA_039700735.1,,,GCA_001599395.1,,,GCA_006386115.1
Corynespora cassiicola 0,GCA_022059125.1,GCA_002975495.1,,,GCA_000146915.2,GCA_047665525.1,,GCA_013177335.1,GCA_042082825.1
Corynespora cassiicola 1,GCA_002975495.1,GCA_002975505.1,,,GCA_020568465.1,GCA_047843695.1,GCA_903819205.2,GCA_038091195.1,GCA_905220665.1
Corynespora cassiicola 2,GCA_002975505.1,,,,,GCA_003689185.1,GCA_011033815.1,GCA_001887975.1,GCA_001950935.1
Corynespora cassiicola 3,GCA_002975535.1,GCA_002975555.1,,,GCA_011420255.1,GCA_029230265.1,GCA_029405325.1,GCA_040207415.1,GCA_020800235.2
Corynespora cassiicola 5,GCA_002975575.1,GCA_002975595.1,,,,,GCA_003276755.1,GCA_024712875.1,GCA_900708865.1
Corynespora cassiicola 6,GCA_002975595.1,GCA_002975615.1,,,GCA_028220655.1,GCA_018991885.1,GCA_024713545.1,GCA_041721875.1,GCA_005966545.1
Corynespora cassiicola 8,GCA_002975635.1,GCA_002975655.1,,,,,GCA_015585735.1,,
Corynespora cassiicola 9,GCA_002975655.1,GCA_002975665.1,,,GCA_013036055.1,GCA_047666705.1,GCA_020647705.1,GCA_029717545.1,GCA_001278235.1
Saitozyma podzolica 0,GCA_003942215.1,GCA_902500855.1,GCA_001600855.1,GCA_040366565.1,GCA_002222095.1,GCA_028533015.1,GCA_019190635.1,GCA_047372165.1,GCA_023335835.1
Saitozyma podzolica 1,GCA_902500855.1,GCA_902500865.1,GCA_001600855.1,,GCA_002222155.1,GCA_001752645.1,GCA_038088795.1,GCA_041498835.1,GCA_002968915.1
Saitozyma podzolica 2,GCA_902500865.1,GCA_902500875.1,GCA_001600855.1,GCA_040366565.1,GCA_025882075.1,GCA_021052385.1,GCA_902749315.1,GCA_033807515.1,GCA_000387425.2
Saitozyma podzolica 3,GCA_902500875.1,GCA_902500885.1,GCA_001600855.1,GCA_040366565.1,GCA_001720195.2,GCA_001752605.1,GCA_046128785.1,GCA_003316985.1,GCA_023336125.1
Saitozyma podzolica 4,GCA_902500885.1,GCA_902500895.1,GCA_001600855.1,GCA_040366565.1,GCA_031841365.1,GCA_030864385.1,GCA_023212685.1,GCA_043257085.1,GCA_016864665.1
Saitozyma podzolica 5,GCA_902500895.1,GCA_902500905.1,GCA_001600855.1,GCA_040366565.1,GCA_036810445.1,GCA_002335625.1,GCA_030280995.1,GCA_030571855.1,
Saitozyma podzolica 6,GCA_902500905.1,GCA_902500915.1,GCA_001600855.1,GCA_040366565.1,GCA_002222025.1,GCA_001007165.2,GCA_900015485.1,GCA_019364535.1,GCA_001314345.1
Saitozyma podzolica 7,GCA_902500915.1,GCA_902500925.1,GCA_001600855.1,GCA_040366565.1,GCA_002222255.1,GCA_023627855.1,GCA_039545255.1,GCA_000773805.1,GCA_009733085.1
Saitozyma podzolica 8,GCA_902500925.1,GCA_902500935.1,GCA_001600855.1,GCA_040366565.1,GCA_031841585.1,GCA_030039255.1,GCA_018221655.1,GCA_000167115.1,GCA_001278145.1
Saitozyma podzolica 9,GCA_902500935.1,GCA_902500945.1,GCA_001600855.1,GCA_040366565.1,GCA_001720205.1,GCA_014825745.1,GCA_003314125.1,GCA_003275505.1,
Botrytis cinerea 0,GCA_015147955.1,GCA_015147965.1,GCA_004786145.1,,GCA_001414345.1,GCA_001662575.1,GCA_001670295.1,GCA_011952145.2,GCA_023335895.1
Botrytis cinerea 1,GCA_015147965.1,GCA_015147975.1,GCA_032594075.1,,GCA_003988945.1,GCA_019455505.1,GCA_025503635.1,GCA_015847195.1,GCA_018806915.1
Botrytis cinerea 2,GCA_015147975.1,GCA_015147985.1,GCA_014898485.2,,GCA_021399475.1,GCA_038502575.1,GCA_000260195.2,GCA_001244265.2,GCA_001933345.1
Botrytis cinerea 3,GCA_015147985.1,GCA_015148035.1,GCA_019395255.1,GCA_004379285.1,GCA_964058965.1,GCA_000750755.1,GCA_021513805.1,GCA_027578635.1,GCA_018873755.1
Botrytis cinerea 4,GCA_015148035.1,GCA_015148055.1,GCA_004916875.1,,GCA_002242835.1,GCA_038502575.1,GCA_003708665.2,GCA_025200755.1,GCA_019297675.1
Botrytis cinerea 5,GCA_015148055.1,GCA_015148645.1,GCA_004335035.1,,GCA_037074925.2,GCA_001662585.1,GCA_004367155.1,GCA_027405735.1,GCA_023338225.1
Botrytis cinerea 6,GCA_015148645.1,GCA_015148665.1,GCA_001005785.1,GCA_039841415.1,GCA_002276475.2,GCA_000798735.1,,GCA_038089575.1,GCA_030279125.1
Botrytis cinerea 7,GCA_015148665.1,GCA_015148675.1,GCA_004786205.1,GCA_002162555.1,GCA_001414375.1,GCA_900237765.1,GCA_003719665.1,GCA_038093055.1,GCA_023334615.1
Botrytis cinerea 8,GCA_015148675.1,GCA_015148685.1,GCA_004916875.1,GCA_025389095.1,GCA_040112845.1,GCA_000750795.1,GCA_001262555.1,GCA_041722515.1,GCA_024679215.1
Botrytis cinerea 9,GCA_015148685.1,GCA_015148695.1,GCA_013461495.1,GCA_017357885.1,GCA_002204255.1,GCA_000750895.1,GCA_001664025.1,GCA_000342625.1,GCA_000325885.1
Saccharomyces paradoxus 0,GCA_002079055.1,GCA_002079085.1,GCA_017869325.1,GCA_029873675.1,,GCA_030580215.1,GCA_030560915.1,GCA_000738555.1,GCA_022496125.1
Saccharomyces paradoxus 1,GCA_002079085.1,GCA_002079115.1,GCA_947343265.1,GCA_937857415.1,,GCA_031126435.1,GCA_004762065.1,GCA_001707215.1,GCA_020976625.1
Saccharomyces paradoxus 2,GCA_002079115.1,GCA_002079145.1,GCA_003270575.1,GCA_949129515.1,,GCA_030580215.1,GCA_003675555.2,GCA_958449975.1,GCA_023334355.1
Saccharomyces paradoxus 3,GCA_002079145.1,GCA_002079175.1,GCA_949124885.1,GCA_931306095.1,,GCA_031126305.1,GCA_030781805.1,GCA_001687445.1,GCA_042082685.1
Saccharomyces paradoxus 4,GCA_002079175.1,GCA_004352945.1,GCA_947345075.1,GCA_030569795.1,,GCA_009281745.1,GCA_030784555.1,GCA_038088795.1,GCA_009733005.1
Saccharomyces paradoxus 5,GCA_004352945.1,GCA_004352955.1,GCA_947344305.1,GCA_030705005.1,,GCA_036287555.1,GCA_000226395.1,GCA_037041285.1,
Saccharomyces paradoxus 6,GCA_004352955.1,GCA_004352965.1,GCA_030142945.1,GCA_003708835.2,,,GCA_965178455.1,,GCA_046862035.1
Saccharomyces paradoxus 7,GCA_004352965.1,GCA_004353035.1,,GCA_044645915.1,,GCA_001747045.1,GCA_911197305.1,GCA_001950495.1,GCA_038050905.1
Saccharomyces paradoxus 8,GCA_004353035.1,GCA_004353095.1,GCA_003271945.1,GCA_030574115.1,,GCA_031125455.1,GCA_023141395.1,GCA_027596045.1,GCA_032158355.1
Saccharomyces paradoxus 9,GCA_004353095.1,GCA_004353105.1,GCA_902192275.1,GCA_012851095.1,,GCA_030582435.1,GCA_013347375.1,GCA_016584345.1,GCA_038050755.1
Claviceps purpurea 0,GCA_029405325.1,GCA_004016095.1,GCA_022288495.1,GCA_000814955.1,GCA_043252325.1,GCA_003016185.1,GCA_047838235.1,GCA_021464525.1,GCA_023334395.1
Claviceps purpurea 1,GCA_004016095.1,GCA_004016165.1,GCA_018360045.1,GCA_002318955.1,GCA_034400335.1,GCA_009801095.1,GCA_019394085.1,GCA_000697645.1,GCA_003676415.1
Claviceps purpurea 2,GCA_004016165.1,GCA_018360475.1,GCA_022286325.1,GCA_030781625.1,GCA_027886205.1,GCA_963556695.1,GCA_030553405.1,GCA_023629935.1,GCA_019297675.1
Claviceps purpurea 3,GCA_018360475.1,GCA_018360535.1,GCA_018360085.1,GCA_001008065.1,GCA_017656775.1,GCA_014849415.1,GCA_023620335.1,GCA_019802915.1,GCA_007655245.1
Claviceps purpurea 4,GCA_018360535.1,GCA_018360565.1,GCA_018360525.1,GCA_030782805.1,GCA_015832225.1,GCA_038362885.1,GCA_949129295.1,GCA_025677895.1,GCA_001573145.1
Claviceps purpurea 5,GCA_018360565.1,GCA_018360585.1,GCA_018360355.1,GCA_046866095.1,GCA_003025155.1,GCA_027406005.1,GCA_964254515.1,GCA_040763025.1,GCA_009729435.1
Claviceps purpurea 6,GCA_018360585.1,GCA_018360605.1,GCA_018360365.1,GCA_046863495.1,GCA_018346625.1,GCA_000734165.1,GCA_024761495.1,GCA_003144115.1,GCA_019155715.1
Claviceps purpurea 7,GCA_018360605.1,GCA_018360655.1,GCA_004016145.1,GCA_023212845.1,GCA_016166095.2,GCA_009804795.1,GCA_030575215.1,GCA_003316345.1,GCA_023337905.1
Claviceps purpurea 8,GCA_018360655.1,GCA_018360675.1,GCA_022283685.1,GCA_000222895.2,GCA_043176695.1,GCA_014850315.1,,GCA_024243815.1,GCA_023336345.1
Claviceps purpurea 9,GCA_018360675.1,GCA_018360685.1,GCA_022288525.1,GCA_000709145.1,GCA_011035135.1,GCA_000734785.1,GCA_037102615.1,GCA_015852495.1,GCA_001278135.1
Rhizopus arrhizus 0,GCA_048164915.1,GCA_000697195.1,,GCA_025677835.1,GCA_024294565.1,,GCA_015852375.1,GCA_020726445.1,GCA_042257365.1
Rhizopus arrhizus 1,GCA_000697195.1,,GCA_000697155.1,GCA_025677835.1,,,GCA_000597565.1,GCA_014065215.1,GCA_023335435.1
Rhizopus arrhizus 3,GCA_011763775.1,GCA_011763875.1,GCA_011763475.1,GCA_025677835.1,GCA_016097715.1,,GCA_910592345.1,GCA_011420565.1,GCA_042082325.1
Rhizopus arrhizus 4,GCA_011763875.1,GCA_011763935.1,GCA_019022815.1,GCA_025677835.1,GCA_008728235.1,,GCA_000439145.3,GCA_018092615.1,GCA_009733105.1
Rhizopus arrhizus 5,GCA_011763935.1,GCA_011763955.1,GCA_000697155.1,GCA_025677835.1,GCA_000696895.1,,GCA_958449905.1,GCA_029990845.1,GCA_012552325.1
Rhizopus arrhizus 6,GCA_011763955.1,GCA_011763975.1,,GCA_025677835.1,GCA_040367835.1,,GCA_964291815.1,GCA_002975505.1,GCA_000500225.2
Rhizopus arrhizus 7,GCA_011763975.1,GCA_011763995.1,GCA_019022815.1,GCA_025677835.1,GCA_000697435.1,,GCA_015847185.1,GCA_003313715.1,GCA_000751395.2
Rhizopus arrhizus 8,GCA_011763995.1,GCA_011764025.1,GCA_011763835.1,GCA_025677835.1,GCA_029582045.1,,,GCA_901446245.1,GCA_009732925.1
Rhizopus arrhizus 9,GCA_011764025.1,,GCA_011763735.1,GCA_025677835.1,GCA_025331425.1,,GCA_003550305.1,GCA_947345005.1,GCA_000281045.1
Candida tropicalis 0,GCA_000633855.1,GCA_002864075.1,GCA_000447475.1,GCA_030578535.1,GCA_000003835.1,GCA_037042275.1,GCA_023141305.1,GCA_040368705.1,GCA_001573145.1
Candida tropicalis 1,GCA_002864075.1,GCA_013177555.1,GCA_041430605.1,GCA_046131165.1,GCA_035771725.1,GCA_040938015.1,GCA_030913505.1,GCA_031840795.1,
Candida tropicalis 2,GCA_013177555.1,GCA_017315405.1,GCA_014049485.1,GCA_003705675.1,GCA_046331805.1,GCA_003706035.2,GCA_015345885.1,GCA_019190585.1,GCA_023334245.1
Candida tropicalis 3,GCA_017315405.1,GCA_019239295.1,GCA_026650225.1,GCA_002109505.1,GCA_046251775.1,GCA_030569635.1,GCA_047667155.1,GCA_040804755.1,GCA_001933315.1
Candida tropicalis 4,GCA_019239295.1,GCA_021018935.2,GCA_001442715.1,GCA_000006445.2,GCA_002893705.1,,GCA_911175105.1,GCA_900016695.1,GCA_002286825.1
Candida tropicalis 5,GCA_021018935.2,GCA_021018955.2,GCA_000447615.1,GCA_046131275.1,GCA_046331925.1,GCA_030571455.1,GCA_030846815.1,GCA_027604105.1,GCA_020800225.1
Candida tropicalis 6,GCA_021018955.2,GCA_021018975.2,GCA_044592855.1,GCA_031081885.1,GCA_035772185.1,GCA_000286515.1,GCA_010094025.1,GCA_006352295.1,GCA_042082295.1
Candida tropicalis 7,GCA_021018975.2,GCA_021019025.2,GCA_000647575.1,GCA_030556895.1,GCA_016495665.1,GCA_023011915.1,GCA_047724435.1,GCA_900016705.1,GCA_002245715.1
Candida tropicalis 8,GCA_021019025.2,GCA_022984785.1,GCA_900002835.2,GCA_900174495.1,GCA_902712105.3,GCA_030574315.1,GCA_030562005.1,GCA_048934115.1,GCA_001278215.1
Candida tropicalis 9,GCA_022984785.1,GCA_023373895.1,GCA_024610275.1,GCA_029581795.1,GCA_000410855.1,GCA_023629555.1,GCA_030571435.1,GCA_036418075.1,GCA_003546785.1
Yarrowia lipolytica 1,GCA_001307795.1,GCA_001761485.1,GCA_030560645.1,GCA_010094045.1,GCA_030562965.1,,GCA_964256895.1,GCA_905219635.1,GCA_023333735.1
Yarrowia lipolytica 2,GCA_001761485.1,GCA_003054305.1,GCA_001600075.1,GCA_037855265.1,GCA_002024125.1,,GCA_008065175.1,GCA_000190615.1,GCA_042082605.1
Yarrowia lipolytica 3,GCA_003054305.1,GCA_003054345.1,GCA_030407205.1,GCA_023625935.1,GCA_003708105.3,,GCA_023011705.1,GCA_024244095.1,GCA_001950815.1
Yarrowia lipolytica 4,GCA_003054345.1,GCA_003054365.1,GCA_017639365.1,GCA_045281415.1,GCA_030563285.1,,GCA_000513815.1,GCA_038091795.1,GCA_000443045.1
Yarrowia lipolytica 5,GCA_003054365.1,GCA_003243785.1,GCA_017639365.1,GCA_037040145.1,GCA_013365125.1,,GCA_048413595.1,GCA_000500245.1,GCA_003546625.1
Yarrowia lipolytica 6,GCA_003243785.1,GCA_003367845.1,GCA_001600515.1,GCA_021556705.1,GCA_003033435.1,,GCA_002847045.1,GCA_030407005.1,GCA_038051155.1
Yarrowia lipolytica 7,GCA_003367845.1,GCA_003367865.1,GCA_900518995.1,GCA_029297955.1,GCA_022577775.1,,GCA_030412595.1,GCA_049242505.1,GCA_024679115.1
Yarrowia lipolytica 8,GCA_003367865.1,GCA_003367925.1,GCA_017639365.1,GCA_030247865.1,GCA_030565305.1,,GCA_037043785.1,GCA_025331445.1,GCA_047676585.1
Yarrowia lipolytica 9,GCA_003367925.1,GCA_003367945.1,GCA_001600515.1,GCA_024243675.1,GCA_037041415.1,,GCA_030779505.1,GCA_027919855.1,GCA_038050945.1
Lasallia pustulata 0,GCA_023184575.1,GCA_000938525.1,GCA_964254525.1,GCA_964255515.1,GCA_964256115.1,GCA_964255845.1,GCA_003271645.1,GCA_025094155.1,GCA_023338065.1
