,Target Accession,Same Species,Same Genus,Same Family,Same Order,Same Class,Same Phylum,Same Kingdom,Other Kingdom
Naumovozyma castellii 3,GCA_012850925.1,GCA_012850935.1,GCA_001074275.1,GCA_900178255.1,,GCA_020536175.1,GCA_009829845.1,GCA_031841585.1,GCA_016864835.1
Naumovozyma castellii 4,GCA_012850935.1,GCA_012850965.1,GCA_030705005.1,GCA_048414015.1,,GCA_030569975.1,GCA_002925215.1,GCA_001691755.2,GCA_001712715.2
Naumovozyma castellii 5,GCA_012850965.1,GCA_023629115.1,GCA_000227115.2,GCA_017867205.1,,GCA_037041225.1,GCA_047724615.1,GCA_018524765.1,GCA_016864795.1
Naumovozyma castellii 6,GCA_023629115.1,GCA_030568115.1,GCA_000227115.2,GCA_949129855.1,,GCA_003708365.1,,GCA_029542865.1,GCA_018873755.1
Naumovozyma castellii 7,GCA_030568115.1,GCA_036850575.1,GCA_000227115.2,GCA_947345095.1,,GCA_030561705.1,GCA_030413865.1,GCA_024244045.1,GCA_003546605.1
Ceratocystis lukuohia 0,GCA_023509845.1,GCA_038382545.1,GCA_042258205.1,GCA_030294605.1,GCA_037040375.1,GCA_900096695.1,GCA_003274605.1,GCA_001986395.2,GCA_023334075.1
Ceratocystis lukuohia 1,GCA_038382545.1,GCA_038382585.1,GCA_038382205.1,GCA_048999995.1,GCA_002221725.1,GCA_002218485.1,GCA_022814565.1,GCA_011950945.2,GCA_024679005.1
Ceratocystis lukuohia 2,GCA_038382585.1,GCA_038382665.1,GCA_032173455.1,GCA_001599435.1,GCA_030772195.1,GCA_027406185.1,GCA_032714595.1,GCA_900009975.1,GCA_026401395.1
Ceratocystis lukuohia 3,GCA_038382665.1,GCA_038382685.1,GCA_009914735.1,GCA_027744755.1,GCA_000732125.1,GCA_013186815.1,GCA_023141515.1,GCA_044759035.1,GCA_024679005.1
Ceratocystis lukuohia 4,GCA_038382685.1,GCA_038382705.1,GCA_038382965.1,GCA_001483325.1,GCA_037040375.1,GCA_009804965.1,GCA_004918505.1,GCA_038089155.1,GCA_018873755.1
Ceratocystis lukuohia 5,GCA_038382705.1,GCA_038382785.1,GCA_012652265.1,GCA_009806295.1,GCA_002276285.1,GCA_033296695.1,GCA_027563775.1,GCA_006506795.2,GCA_021527685.1
Ceratocystis lukuohia 6,GCA_038382785.1,GCA_038382865.1,GCA_038407075.1,GCA_048999915.1,GCA_017657125.1,GCA_004367475.1,GCA_047840965.1,GCA_040804135.1,GCA_023336445.1
Ceratocystis lukuohia 7,GCA_038382865.1,GCA_044167205.1,GCA_002742215.1,GCA_004009845.1,GCA_029532625.1,GCA_003015395.1,GCA_026119385.1,GCA_937859235.1,GCA_004138045.1
Saccharomycopsis fibuligera 0,GCA_001936155.1,GCA_001936275.1,GCA_030571695.1,GCA_029299855.1,GCA_001600695.1,GCA_949124415.1,GCA_033119265.1,GCA_038094655.1,
Saccharomycopsis fibuligera 1,GCA_001936275.1,GCA_012062855.1,GCA_030571695.1,GCA_029299855.1,GCA_030560485.1,GCA_008973615.1,GCA_003709005.1,GCA_024243955.1,GCA_000448265.2
Saccharomycopsis fibuligera 2,GCA_012062855.1,GCA_023497445.1,GCA_030571695.1,GCA_029299855.1,GCA_030560485.1,GCA_011393215.1,GCA_022578865.1,GCA_038093575.1,GCA_023337535.1
Saccharomycopsis fibuligera 3,GCA_023497445.1,GCA_030583195.1,GCA_004014935.1,GCA_029299855.1,GCA_001661345.1,GCA_017870955.1,GCA_044589475.1,GCA_022606095.1,GCA_024679135.1
Saccharomycopsis fibuligera 4,GCA_030583195.1,GCA_031126225.1,GCA_031125675.1,GCA_029299835.1,GCA_031126425.1,GCA_009666255.1,GCA_022814385.1,GCA_029320655.1,GCA_001314925.1
Saccharomycopsis fibuligera 5,GCA_031126225.1,GCA_031126305.1,GCA_030556795.1,GCA_029299855.1,GCA_030572175.1,GCA_000260735.2,GCA_002211485.2,GCA_018221735.1,GCA_020976625.1
Saccharomycopsis fibuligera 6,GCA_031126305.1,GCA_040365455.1,GCA_030571755.1,GCA_029299835.1,GCA_001661345.1,GCA_000275665.1,GCA_022345275.1,GCA_964248975.1,GCA_038050845.1
Saccharomycopsis fibuligera 7,GCA_040365455.1,GCA_049306565.1,GCA_031762995.1,GCA_029299835.1,GCA_030560485.1,GCA_947344095.1,GCA_030781965.1,GCA_001007165.2,GCA_023338155.1
Madurella mycetomatis 0,GCA_022530565.1,GCA_001275765.2,GCA_045866475.1,GCA_037855265.1,GCA_011316235.1,GCA_001702575.1,,GCA_027575405.1,GCA_000751395.2
Madurella mycetomatis 1,GCA_001275765.2,GCA_009859445.1,GCA_045866475.1,,GCA_009802235.1,,GCA_027946375.1,GCA_025782845.1,GCA_009732945.1
Madurella mycetomatis 2,GCA_009859445.1,GCA_009861465.1,GCA_045866475.1,GCA_029300415.1,GCA_004802645.1,GCA_018345865.1,GCA_040938755.1,GCA_022506025.1,GCA_026184515.1
Madurella mycetomatis 3,GCA_009861465.1,GCA_009861565.1,GCA_045866475.1,GCA_037223515.1,GCA_009802725.1,GCA_003426265.1,GCA_016801405.1,GCA_015832375.1,GCA_001887855.2
Madurella mycetomatis 4,GCA_009861565.1,GCA_953966695.1,GCA_029876055.1,GCA_023624095.1,GCA_009805235.1,GCA_047371005.1,GCA_963379305.1,GCA_004369085.1,GCA_004138045.1
Madurella mycetomatis 5,GCA_953966695.1,GCA_954171985.1,GCA_029876055.1,GCA_021556675.1,GCA_009804445.1,GCA_045529095.1,GCA_964257135.1,GCA_040804915.1,GCA_046862035.1
Madurella mycetomatis 6,GCA_954171985.1,GCA_954279275.1,GCA_029876055.1,GCA_027569265.1,GCA_031001845.1,GCA_027406185.1,GCA_949125025.1,GCA_042239865.1,GCA_000387525.2
Madurella mycetomatis 7,GCA_954279275.1,GCA_954510435.1,GCA_045866475.1,GCA_046254935.1,GCA_009802645.1,GCA_002892995.1,GCA_022627015.2,GCA_033735355.1,GCA_000387505.2
Blumeria graminis 0,GCA_905067625.1,GCA_024363405.1,GCA_900638725.1,GCA_014884795.1,,GCA_002909645.1,GCA_030705165.1,GCA_025769895.1,GCA_023333815.1
Blumeria graminis 1,GCA_024363405.1,GCA_900519115.1,GCA_023065745.1,GCA_003611215.1,,GCA_000750755.1,GCA_037040155.1,GCA_001562095.1,GCA_032158065.1
Blumeria graminis 2,GCA_900519115.1,GCA_927323605.2,GCA_900239735.1,GCA_030378345.1,,GCA_013054445.1,GCA_011034415.1,GCA_040804135.1,GCA_002081575.1
Blumeria graminis 3,GCA_927323605.2,GCA_964289775.1,GCA_900638725.1,GCA_028751805.1,,GCA_002242835.1,GCA_003184835.1,GCA_030407065.1,GCA_023335935.1
Blumeria graminis 4,GCA_964289775.1,GCA_000417865.1,GCA_900239735.1,,,GCA_004786225.1,GCA_043257125.1,GCA_043251985.1,GCA_038051155.1
Blumeria graminis 5,GCA_000417865.1,GCA_000418435.1,GCA_900239735.1,GCA_022627015.2,,GCA_015148935.1,GCA_013145995.1,GCA_964257735.1,GCA_038050585.1
Blumeria graminis 6,GCA_000418435.1,GCA_000441875.1,GCA_900239735.1,GCA_016906895.2,,GCA_046529785.1,GCA_900178285.1,GCA_038093775.1,GCA_023334315.1
Blumeria graminis 7,GCA_000441875.1,,GCA_023065745.1,GCA_014884795.1,,GCA_002162615.1,GCA_030565405.1,GCA_037576215.1,GCA_002812785.1
Pichia terricola 0,GCA_030168465.1,GCA_003706875.2,GCA_003054405.1,,,GCA_041026605.1,GCA_000734635.1,GCA_943193715.1,GCA_038050755.1
Pichia terricola 1,GCA_003706875.2,GCA_022701355.1,GCA_023629495.1,GCA_023015255.1,,GCA_030384665.1,GCA_042247495.1,GCA_018221785.1,GCA_016864855.1
Pichia terricola 2,GCA_022701355.1,GCA_023629215.1,GCA_047371135.1,GCA_030567555.1,,GCA_900007135.1,,GCA_037040355.1,GCA_009835205.1
Pichia terricola 3,GCA_023629215.1,GCA_023629235.1,GCA_023629355.1,GCA_030570415.1,,GCA_046254115.1,GCA_046115455.1,GCA_902500985.1,GCA_038051075.1
Pichia terricola 4,GCA_023629235.1,GCA_023629275.1,GCA_030579495.1,GCA_023213065.1,,GCA_030582535.1,GCA_937858685.1,GCA_018857305.1,GCA_921012115.1
Pichia terricola 5,GCA_023629275.1,GCA_023629295.1,GCA_025531625.1,GCA_000027005.1,,GCA_002893685.1,GCA_009803505.1,GCA_038496155.1,GCA_023337545.1
Pichia terricola 6,GCA_023629295.1,GCA_030581875.1,GCA_030573035.1,,,GCA_030582495.1,GCA_023088265.1,GCA_015657495.1,GCA_009835185.1
Pichia terricola 7,GCA_030581875.1,GCA_037041655.1,GCA_000286515.1,GCA_030556925.1,,GCA_037041915.1,GCA_009806305.1,GCA_021029105.1,GCA_001933485.1
Macrophomina tecta 0,GCA_024180945.1,GCA_047727925.1,GCA_047836805.1,GCA_964300245.1,GCA_018991875.1,GCA_004151575.1,GCA_034753255.1,GCA_041722595.1,GCA_000318465.3
Macrophomina tecta 1,GCA_047727925.1,GCA_047729295.1,GCA_047841225.1,GCA_009829845.1,GCA_018991885.1,GCA_010015675.1,GCA_028827425.1,GCA_025529995.1,GCA_047676585.1
Macrophomina tecta 2,GCA_047729295.1,GCA_047729335.1,GCA_047841265.1,GCA_023089105.1,GCA_006984725.1,GCA_024761985.1,GCA_030579695.1,GCA_902501155.1,GCA_038050715.1
Macrophomina tecta 3,GCA_047729335.1,GCA_047729355.1,GCA_047717105.1,GCA_034621315.1,GCA_018992365.1,GCA_000601435.1,GCA_002242835.1,GCA_000250985.1,GCA_023336425.1
Macrophomina tecta 4,GCA_047729355.1,GCA_047839405.1,GCA_047665495.1,GCA_023084665.1,GCA_018990085.1,GCA_022559905.1,GCA_016906325.1,GCA_004917935.1,
Macrophomina tecta 5,GCA_047839405.1,GCA_047842005.1,GCA_047665365.1,GCA_033955005.1,GCA_038025055.1,GCA_039700815.1,GCA_001661335.1,GCA_024713535.1,GCA_001933345.1
Macrophomina tecta 6,GCA_047842005.1,GCA_047842325.1,GCA_047671175.1,GCA_023082105.1,GCA_038381175.1,GCA_020581275.1,GCA_023623355.1,GCA_027248825.1,GCA_030374165.1
Macrophomina tecta 7,GCA_047842325.1,GCA_047842365.1,GCA_047841425.1,GCA_023088285.1,GCA_038021145.1,GCA_002933655.1,GCA_046251655.1,GCA_018154785.1,GCA_018292905.1
Fusarium xylarioides 0,GCA_013183765.1,GCA_004329255.1,GCA_013759065.1,GCA_014622095.1,GCA_014925755.1,GCA_009771025.1,GCA_017867755.1,GCA_009428265.1,GCA_023337775.1
Fusarium xylarioides 1,GCA_004329255.1,GCA_013623735.1,GCA_011034935.1,GCA_013403855.1,GCA_023658505.1,GCA_905066965.2,GCA_004168565.1,GCA_027604875.1,GCA_003730235.1
Fusarium xylarioides 2,GCA_013623735.1,GCA_018296245.1,GCA_043253165.1,GCA_045528745.1,GCA_000426965.1,GCA_025802455.2,GCA_046132185.1,GCA_016617785.1,GCA_038050715.1
Fusarium xylarioides 3,GCA_018296245.1,GCA_018296265.1,GCA_009297945.1,GCA_020736575.1,GCA_023168115.2,GCA_017657125.1,GCA_949640725.1,GCA_018851285.1,GCA_016864695.1
Fusarium xylarioides 4,GCA_018296265.1,GCA_018296285.1,GCA_014324905.1,GCA_030371075.1,GCA_030787525.1,GCA_000734525.1,GCA_048413575.1,GCA_002215855.1,GCA_001278165.1
Fusarium xylarioides 5,GCA_018296285.1,GCA_018296305.1,GCA_032991405.1,GCA_024115155.1,GCA_022288535.1,GCA_000150825.1,GCA_001515485.2,GCA_001969225.1,GCA_001933345.1
Fusarium xylarioides 6,GCA_018296305.1,GCA_018296325.1,GCA_032206225.1,GCA_030371025.1,GCA_030787945.1,GCA_046114455.1,GCA_037040845.1,GCA_021464325.1,GCA_000149755.2
Fusarium xylarioides 7,GCA_018296325.1,GCA_018296345.1,GCA_013186815.1,GCA_030371055.1,GCA_030786905.1,GCA_033296635.1,GCA_003369665.1,GCA_964023155.1,GCA_009733105.1
Metarhizium anisopliae 0,GCA_013305495.1,GCA_000739145.1,GCA_020102295.1,GCA_022288675.1,GCA_033847375.1,GCA_014705485.1,GCA_016906405.1,GCA_019190765.1,GCA_023337755.1
Metarhizium anisopliae 1,GCA_000739145.1,GCA_013839505.1,GCA_000187425.2,GCA_020975405.1,GCA_902702945.1,GCA_038502455.1,GCA_023629635.1,GCA_018154385.1,GCA_025722995.1
Metarhizium anisopliae 2,GCA_013839505.1,GCA_023212845.1,GCA_007866325.1,GCA_000729845.1,GCA_045529425.1,GCA_002778035.1,GCA_001696825.1,GCA_001887945.1,GCA_023334015.1
Metarhizium anisopliae 3,GCA_023212845.1,GCA_039654215.1,GCA_047495765.1,GCA_030782285.1,GCA_011035595.1,GCA_000732125.1,GCA_047841545.1,GCA_040804975.1,GCA_042082425.1
Metarhizium anisopliae 4,GCA_039654215.1,GCA_043157565.1,GCA_020102295.1,GCA_022278435.1,GCA_016166285.1,GCA_011445115.1,GCA_046129225.1,GCA_038092915.1,GCA_030279015.1
Metarhizium anisopliae 5,GCA_043157565.1,GCA_047301735.1,GCA_000804445.1,GCA_001008065.1,GCA_025216325.1,GCA_034774685.1,GCA_000773745.1,GCA_001895945.1,GCA_000387545.2
Metarhizium anisopliae 6,GCA_047301735.1,GCA_000426985.1,GCA_047495765.1,GCA_000222915.1,GCA_030779145.1,GCA_026653595.1,,GCA_000836335.2,GCA_024679135.1
Metarhizium anisopliae 7,GCA_000426985.1,GCA_000426965.1,GCA_000814965.1,GCA_000965225.2,GCA_030772405.1,GCA_024704305.1,GCA_030036035.1,GCA_016097935.1,
Lipomyces starkeyi 0,GCA_018804115.1,GCA_030556305.1,GCA_030556285.1,GCA_030462815.1,,,GCA_000182765.2,GCA_958301845.1,GCA_009733105.1
Lipomyces starkeyi 1,GCA_030556305.1,GCA_038497405.1,GCA_030556285.1,GCA_038497685.1,,,GCA_047835645.1,GCA_019908715.1,GCA_035080225.1
Lipomyces starkeyi 2,GCA_038497405.1,GCA_038497525.1,GCA_003705905.2,GCA_038497785.1,,,GCA_023014905.1,GCA_016097715.1,GCA_030374185.1
Lipomyces starkeyi 3,GCA_038497525.1,GCA_038497545.1,GCA_030556285.1,GCA_030571435.1,,,GCA_001741295.1,GCA_000300575.2,GCA_038050845.1
Lipomyces starkeyi 4,GCA_038497545.1,GCA_038497555.1,GCA_030564845.1,GCA_030705025.1,,,GCA_037179295.1,GCA_000696955.1,
Lipomyces starkeyi 5,GCA_038497555.1,GCA_038497675.1,GCA_038497535.1,GCA_030570675.1,,,GCA_033439665.1,GCA_003097675.1,GCA_023337775.1
Lipomyces starkeyi 6,GCA_038497675.1,GCA_038497925.1,GCA_029532465.1,GCA_030556295.1,,,GCA_011320175.1,GCA_902500945.1,GCA_009848525.1
Lipomyces starkeyi 7,GCA_038497925.1,GCA_001661325.1,GCA_030564805.1,GCA_030462815.1,,,GCA_002072425.1,GCA_003313625.1,GCA_009835185.1
Fusarium virguliforme 0,GCA_020883615.1,GCA_001680525.1,GCA_011036765.1,GCA_020623695.1,GCA_022813585.1,GCA_033297175.1,GCA_048414295.1,GCA_004918835.1,
Fusarium virguliforme 1,GCA_001680525.1,GCA_001680605.1,GCA_013396075.1,GCA_021019085.1,GCA_900108815.1,GCA_001557505.1,GCA_020499805.1,GCA_004918735.1,GCA_023336135.1
Fusarium virguliforme 2,GCA_001680605.1,GCA_001680665.1,GCA_043176525.1,GCA_013420875.1,GCA_030784865.1,GCA_024703685.1,,GCA_041475395.1,GCA_026184515.1
Fusarium virguliforme 3,GCA_001680665.1,GCA_013363175.1,GCA_016801315.1,GCA_002682825.1,GCA_030780705.1,GCA_017589535.1,GCA_008086785.1,GCA_000739165.1,GCA_023336405.1
Fusarium virguliforme 4,GCA_013363175.1,GCA_020883595.1,GCA_025427855.1,GCA_003385255.1,GCA_030787925.1,GCA_002851705.1,GCA_003184545.1,GCA_019143055.1,GCA_029452305.1
Fusarium virguliforme 5,GCA_020883595.1,GCA_020883605.1,GCA_040113965.1,GCA_021365365.1,GCA_023628815.1,GCA_003015635.1,GCA_020085065.1,GCA_910592205.1,GCA_000387445.2
Fusarium virguliforme 6,GCA_020883605.1,GCA_020883625.1,GCA_045786885.1,GCA_020740355.1,GCA_030772385.1,GCA_020726465.1,GCA_036288975.1,GCA_004023515.1,GCA_003666305.1
Fusarium virguliforme 7,GCA_020883625.1,GCA_000585705.1,GCA_020976275.1,GCA_023015515.1,GCA_030411655.1,GCA_002924685.1,GCA_047371125.1,GCA_025529315.1,GCA_012295475.1
Lichtheimia ramosa 0,GCA_008728235.1,GCA_000945115.1,GCA_023629935.1,GCA_025766255.1,GCA_011764125.1,,GCA_015502565.1,GCA_012610825.1,GCA_000365525.1
Lichtheimia ramosa 1,GCA_000945115.1,GCA_023629915.1,GCA_000723665.1,GCA_000611695.1,GCA_024140275.1,,GCA_958301795.1,GCA_043175875.1,GCA_023335995.1
Lichtheimia ramosa 2,GCA_023629915.1,GCA_029582045.1,GCA_023629935.1,GCA_900175165.2,GCA_001638945.1,,GCA_016748015.1,GCA_030557175.1,GCA_038051095.1
Lichtheimia ramosa 3,GCA_029582045.1,GCA_037041495.1,GCA_025094155.1,GCA_025677815.1,GCA_016758985.1,,,GCA_905067625.1,GCA_016906365.1
Lichtheimia ramosa 4,GCA_037041495.1,GCA_037042035.1,GCA_023629935.1,GCA_041956525.1,GCA_023630475.1,,,GCA_002997305.1,GCA_033558025.1
Lichtheimia ramosa 5,GCA_037042035.1,GCA_048164995.1,GCA_025094155.1,GCA_041956525.1,GCA_011763755.1,,GCA_958301775.1,GCA_905114725.1,GCA_002073175.1
Lichtheimia ramosa 6,GCA_048164995.1,GCA_000738555.1,GCA_000697175.1,GCA_023512895.1,GCA_013461545.1,,GCA_958301925.1,GCA_014705195.1,GCA_022023675.2
Lichtheimia ramosa 7,GCA_000738555.1,GCA_000697395.1,GCA_023629935.1,GCA_025266875.1,GCA_011762635.1,,GCA_016098045.1,GCA_042609345.1,GCA_001950815.1
Pichia fermentans 0,GCA_035610515.1,GCA_003339355.1,GCA_037102705.1,GCA_030568425.1,,GCA_000647575.1,GCA_040126005.1,GCA_002995245.1,GCA_902706625.1
Pichia fermentans 1,GCA_003339355.1,GCA_029581925.1,GCA_030570435.1,GCA_019443345.1,,GCA_020280135.1,GCA_041684615.1,GCA_041684055.1,GCA_023336105.1
Pichia fermentans 2,GCA_029581925.1,GCA_030570255.1,GCA_003705495.1,GCA_023011555.1,,GCA_032715285.1,GCA_022345155.1,GCA_029233265.1,GCA_003676415.1
Pichia fermentans 3,GCA_030570255.1,GCA_030770065.1,GCA_023629575.1,,,GCA_001447935.2,GCA_001662465.1,GCA_902501305.1,GCA_023335895.1
Pichia fermentans 4,GCA_030770065.1,GCA_037041205.1,GCA_030563965.1,GCA_937873335.1,,GCA_046251415.1,GCA_019594945.1,GCA_002922495.1,GCA_001933415.1
Pichia fermentans 5,GCA_037041205.1,GCA_037041255.1,GCA_030769885.1,GCA_003705625.1,,GCA_003706495.1,GCA_009804415.1,GCA_041146195.1,GCA_020800215.1
Pichia fermentans 6,GCA_037041255.1,GCA_037041515.1,GCA_046867425.1,,,GCA_046131295.1,GCA_003708535.3,GCA_003325415.1,GCA_038050675.1
Pichia fermentans 7,GCA_037041515.1,GCA_037041755.1,GCA_030570195.1,GCA_023013365.1,,GCA_030566995.1,GCA_020726445.1,GCA_039880695.1,
Cryptococcus gattii 0,GCA_014964225.1,GCA_031841975.1,GCA_019970125.1,GCA_036426115.1,GCA_033032075.1,GCA_023627975.1,GCA_040804215.1,GCA_000760515.2,GCA_003546605.1
Cryptococcus gattii 1,GCA_031841975.1,GCA_036428525.1,GCA_002222095.1,GCA_039105145.1,GCA_902500915.1,GCA_040371455.1,GCA_019191065.1,GCA_044646245.1,GCA_001278215.1
Cryptococcus gattii 2,GCA_036428525.1,GCA_000875815.1,GCA_002222405.1,GCA_039105145.1,GCA_904859935.1,GCA_023653615.1,GCA_027627235.1,GCA_025769305.1,GCA_023333845.1
Cryptococcus gattii 3,GCA_000875815.1,GCA_000835745.1,GCA_031841325.1,GCA_000507485.3,GCA_001600855.1,GCA_030864325.1,GCA_001265065.1,GCA_023628735.1,GCA_001922765.1
Cryptococcus gattii 4,GCA_000835745.1,GCA_000935105.1,GCA_031841475.1,GCA_036810415.1,GCA_902501255.1,GCA_030864415.1,GCA_019189475.1,GCA_023972975.1,GCA_023335435.1
Cryptococcus gattii 5,GCA_000935105.1,GCA_000836355.1,GCA_031842005.1,GCA_000512585.3,GCA_902501045.1,GCA_039545295.1,GCA_045933395.1,GCA_001430955.1,GCA_023334305.1
Cryptococcus gattii 6,GCA_000836355.1,GCA_009650685.1,GCA_031840855.1,GCA_000507885.2,GCA_000271645.1,GCA_001712445.1,GCA_004918405.1,GCA_022831205.1,GCA_001712655.1
Cryptococcus gattii 7,GCA_009650685.1,GCA_000185945.1,GCA_019970785.1,GCA_000512565.3,GCA_902501355.1,GCA_004026345.1,GCA_003314235.1,GCA_030544205.1,GCA_023334175.1
Histoplasma capsulatum 0,GCA_013420885.1,GCA_017310585.1,GCA_000149585.1,GCA_003206785.1,GCA_000812245.1,GCA_025768115.1,GCA_949124335.1,GCA_045931945.1,GCA_003676415.1
Histoplasma capsulatum 1,GCA_017310585.1,GCA_017607465.1,GCA_000170615.1,GCA_018296045.1,GCA_022832145.1,GCA_010882955.1,GCA_047835895.1,GCA_019627725.1,GCA_009848525.1
Histoplasma capsulatum 2,GCA_017607465.1,GCA_000150115.1,GCA_000170615.1,GCA_003206725.1,,GCA_024678585.1,GCA_030562525.1,GCA_038496145.1,GCA_023336015.1
Histoplasma capsulatum 3,GCA_000150115.1,GCA_017355575.1,GCA_000170615.1,GCA_001014755.1,GCA_046864995.1,GCA_011392555.1,GCA_025541355.1,GCA_027575875.1,GCA_018873745.1
Histoplasma capsulatum 4,GCA_017355575.1,GCA_000151035.1,GCA_017607445.1,GCA_043170745.1,GCA_024244595.1,GCA_027569235.1,GCA_030565405.1,GCA_002995135.1,GCA_000333095.2
Histoplasma capsulatum 5,GCA_000151035.1,GCA_000313325.1,GCA_000170615.1,GCA_000150735.2,GCA_024244195.1,GCA_004634315.1,GCA_003704585.1,GCA_024140245.1,GCA_023334245.1
Histoplasma capsulatum 6,GCA_000313325.1,GCA_000151005.2,GCA_000170615.1,GCA_018296055.1,GCA_000003515.2,GCA_042608695.1,GCA_014325045.1,GCA_040804795.1,GCA_012295425.1
Histoplasma capsulatum 7,GCA_000151005.2,GCA_017310615.1,GCA_000170615.1,GCA_001014755.1,GCA_022832015.1,GCA_009014675.2,GCA_038381115.1,GCA_020087025.1,GCA_023333845.1
Phytophthora cinnamomi 4,GCA_018691715.1,,GCA_030279005.1,GCA_001974925.1,GCA_023334545.1,GCA_001950955.1,,,GCA_030557895.1
Phytophthora cinnamomi 6,GCA_042082325.1,,GCA_024679025.1,,GCA_023334545.1,GCA_023334015.1,,,GCA_029931505.1
Flammulina filiformis 0,GCA_048987785.1,GCA_015342475.1,GCA_011800155.1,GCA_022818035.1,GCA_003314635.1,GCA_964023195.1,GCA_019970565.1,GCA_023701735.1,GCA_023337775.1
Flammulina filiformis 1,GCA_015342475.1,GCA_022345005.1,,GCA_019915135.1,GCA_018524895.1,GCA_038090275.1,GCA_004918645.1,GCA_001723215.1,GCA_023336445.1
Flammulina filiformis 2,GCA_022345005.1,GCA_022345045.1,,GCA_003314005.1,GCA_004369175.1,GCA_900536885.1,GCA_001645015.2,GCA_030581755.1,GCA_038050885.1
Flammulina filiformis 3,GCA_022345045.1,GCA_041682555.1,GCA_945909995.2,GCA_030407005.1,GCA_001179765.1,GCA_041721835.1,GCA_012922825.1,GCA_037040945.1,GCA_000686205.4
Flammulina filiformis 4,GCA_041682555.1,GCA_041684055.1,GCA_001602335.1,GCA_013427175.2,GCA_004369085.1,GCA_038093135.1,GCA_001972285.1,GCA_030772365.1,GCA_003546585.1
Flammulina filiformis 5,GCA_041684055.1,GCA_044231765.1,GCA_000633125.1,GCA_003314085.1,GCA_029378255.1,GCA_041722815.1,GCA_011057545.1,GCA_028828245.1,GCA_023335535.1
Flammulina filiformis 6,GCA_044231765.1,GCA_048537345.1,GCA_001602335.1,GCA_900157415.1,GCA_036418075.1,GCA_002995245.1,GCA_012922765.1,GCA_020502245.1,GCA_023336015.1
Flammulina filiformis 7,GCA_048537345.1,GCA_048537365.1,GCA_011800155.1,GCA_000934385.1,GCA_033735075.1,GCA_045517135.1,GCA_018154105.1,GCA_047841465.1,GCA_000281045.1
Neurospora crassa 0,GCA_000786625.1,GCA_007478085.1,GCA_009803275.1,,GCA_033675105.1,GCA_002778195.1,GCA_015295635.1,GCA_038091855.1,GCA_000961115.1
Neurospora crassa 1,GCA_007478085.1,GCA_033458375.1,GCA_009803305.1,GCA_008692325.1,GCA_035222375.1,GCA_016166225.1,GCA_032714915.1,GCA_027604625.1,GCA_046861995.1
Neurospora crassa 2,GCA_033458375.1,GCA_958302945.1,GCA_009802075.1,GCA_033870435.1,GCA_033439685.1,GCA_040209105.1,GCA_041026485.1,GCA_043380955.1,GCA_023334995.1
Neurospora crassa 3,GCA_958302945.1,GCA_958401115.1,GCA_009805085.1,,GCA_027943165.1,GCA_000145635.1,GCA_012851165.1,GCA_900291925.1,GCA_016864665.1
Neurospora crassa 4,GCA_958401115.1,GCA_958401195.1,GCA_009801985.1,GCA_020800285.1,GCA_033296915.1,GCA_019055395.1,GCA_017866405.1,GCA_000597625.1,GCA_000785725.3
Neurospora crassa 5,GCA_958401195.1,GCA_958432465.1,GCA_009801905.1,GCA_033870435.1,GCA_030512305.1,GCA_026401185.1,GCA_030779285.1,GCA_910591915.1,GCA_020800225.1
Neurospora crassa 6,GCA_958432465.1,GCA_000182925.2,GCA_009803425.1,GCA_008692325.1,GCA_033297075.1,GCA_002215905.1,GCA_020736775.1,GCA_000271565.1,GCA_004117815.1
Neurospora crassa 7,GCA_000182925.2,GCA_009805915.1,GCA_009806015.1,GCA_020800285.1,GCA_033296885.1,GCA_030777645.1,GCA_046251385.1,GCA_040207355.1,GCA_000338795.2
Lasiodiplodia pseudotheobromae 0,GCA_033955225.1,GCA_009829805.1,GCA_018153875.1,GCA_047728115.1,GCA_038025125.1,GCA_022344165.1,GCA_964256355.1,GCA_003144205.1,
Lasiodiplodia pseudotheobromae 1,GCA_009829805.1,GCA_023087545.1,GCA_023087325.1,GCA_047668915.1,GCA_030028495.1,,GCA_048987705.1,GCA_027596135.1,GCA_003546565.1
Lasiodiplodia pseudotheobromae 2,GCA_023087545.1,GCA_029169085.1,GCA_018153875.1,GCA_047724655.1,GCA_038381115.1,GCA_020578375.1,GCA_030789025.1,GCA_024139415.1,GCA_046861995.1
Lasiodiplodia pseudotheobromae 3,GCA_029169085.1,GCA_029931825.1,GCA_029590625.1,GCA_047841685.1,GCA_038381115.1,GCA_029230275.1,GCA_000001985.1,GCA_000785685.1,GCA_016169955.1
Lasiodiplodia pseudotheobromae 4,GCA_029931825.1,GCA_033954995.1,GCA_012971845.1,GCA_047835955.1,GCA_018992335.1,GCA_002267025.1,GCA_931301935.1,GCA_963379295.1,GCA_004343245.1
Lasiodiplodia pseudotheobromae 5,GCA_033954995.1,GCA_033955005.1,GCA_029590625.1,GCA_964300255.1,GCA_019008345.1,GCA_021030975.1,GCA_025504425.1,GCA_040762825.1,GCA_038051075.1
Lasiodiplodia pseudotheobromae 6,GCA_033955005.1,GCA_033955075.1,GCA_044508825.1,GCA_047728915.1,GCA_038051245.1,GCA_020580145.1,GCA_000227095.3,GCA_028828645.1,GCA_009835185.1
